curr_epoch train_cost train_ler val_cost val_ler
1 483.1568420410156 1.0109362840652465 12.098822 1.0
2 169.65576171875 0.9999999999999999 10.705605 1.0
3 156.57283935546872 0.9999999999999999 9.933179 1.0
4 161.76372375488282 0.9999999999999999 9.365557 1.0
5 166.98568725585938 0.9999999999999999 9.406366 1.0
6 169.4543243408203 0.9999999999999999 10.04902 1.0
7 163.31171798706055 0.9999999999999999 9.331748 1.0
8 166.54613113403323 0.9999999999999999 8.660998 1.0
9 162.33607482910156 0.9999999999999999 10.197639 1.0
10 162.5422821044922 0.9999999999999999 10.196533 1.0
11 184.08780212402343 0.9999999999999999 8.777611 1.0
12 165.2825141906738 0.9999999999999999 9.48102 1.0
13 153.73836441040038 0.9999999999999999 8.761024 1.0
14 179.33072738647462 0.9999999999999999 10.581955 1.0
15 153.65716934204102 0.9999999999999999 8.641407 1.0
16 160.84913787841796 0.9999999999999999 9.734747 1.0
17 151.8697799682617 0.9999999999999999 8.788325 1.0
18 162.69932327270507 0.9999999999999999 10.031237 1.0
19 174.2373840332031 0.9999999999999999 9.449345 1.0
20 152.07151947021487 0.9999999999999999 9.696229 1.0
21 155.6462173461914 0.9999999999999999 9.157726 1.0
22 163.88868408203126 0.9999999999999999 10.380278 1.0
23 137.51520156860352 0.9999999999999999 9.345947 1.0
24 151.82601394653318 0.9999999999999999 9.305304 1.0
25 153.75063095092773 0.9999999999999999 10.286035 1.0
26 160.2487503051758 0.9990676939487457 9.92141 1.0
27 142.0554672241211 0.9989440023899078 9.138062 1.0
28 154.6281265258789 0.9997281968593597 9.708673 1.0
29 151.51322631835936 0.99806489944458 9.640945 1.0
30 156.40359497070312 0.996794044971466 7.739586 1.0
31 135.71054687499998 0.9959529995918273 8.829133 1.0
32 144.4492134094238 0.9947342693805695 8.46117 1.0
33 140.771866607666 0.9938759505748748 7.571163 1.0
34 139.00835189819333 0.9676512598991395 8.440647 1.0
35 130.0553077697754 0.9015719592571259 7.4825344 1.0
36 132.9634307861328 0.848178905248642 9.546254 1.0
37 120.48574752807616 0.7738533079624177 7.0208855 1.0
38 110.68175735473635 0.7227340996265412 7.8726497 1.0
39 108.2903106689453 0.7087701976299287 7.8870187 1.0
40 97.55236892700195 0.6687386631965637 6.5489945 0.96875
41 98.60074996948244 0.6673004925251007 5.4496636 0.90625
